α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
          5.8,    0.02896168,          6.2,    0.01742991,            7,    0.01588899,          6.2,    0.01275784,          6.2,    0.01198637,          6.4,    0.01222861,          5.6,    0.01005807,            6,    0.01072846,          5.8,    0.01014024,
            6,    0.02871064,          6.4,    0.01755078,          7.2,    0.01675901,          6.4,    0.01313488,          6.4,    0.01250425,          6.6,    0.01293341,          5.8,    0.01037697,          6.2,    0.01133152,            6,    0.01066054,
          6.2,     0.0291466,          6.6,    0.01772057,          7.6,    0.01879301,          6.6,    0.01363828,          6.6,    0.01318968,          6.8,    0.01366499,            6,    0.01082462,          6.4,    0.01197879,          6.2,    0.01127428,
          6.4,    0.02900563,          6.8,    0.01794602,          7.8,      0.019886,          6.8,    0.01433566,          6.8,     0.0139525,            7,    0.01446665,          6.2,    0.01139683,          6.6,     0.0126301,          6.4,    0.01190496,
          6.6,    0.02907933,            7,    0.01823886,            8,    0.02099146,            7,    0.01516827,            7,    0.01475232,          7.2,     0.0153501,          6.4,     0.0120564,          6.8,    0.01337425,          6.6,    0.01254793,
          6.8,    0.02901185,          7.2,    0.01867491,          8.2,    0.02207042,          7.2,    0.01605421,          7.2,    0.01562828,          7.6,    0.01694097,          6.6,    0.01272558,            7,     0.0141971,          6.8,     0.0133085,
            7,    0.02900628,          7.4,    0.01937341,     8.400001,    0.02314481,          7.4,    0.01701048,          7.4,    0.01657048,          7.8,    0.01771311,          6.8,    0.01345168,          7.2,    0.01500387,            7,    0.01414149,
          7.2,    0.02872986,          7.6,    0.02036969,          8.6,    0.02425404,          7.6,    0.01800937,          7.6,    0.01745489,            8,     0.0185081,            7,    0.01427579,          7.4,    0.01572353,          7.2,    0.01491437,
          7.4,    0.02890572,          7.8,    0.02155875,          8.8,     0.0254377,          7.8,    0.01899447,          7.8,    0.01825903,          8.2,    0.01930455,          7.2,    0.01509921,          7.6,    0.01643588,          7.4,    0.01560885,
          7.6,    0.02885509,            8,    0.02282793,            9,    0.02662452,            8,    0.01990422,            8,    0.01906958,     8.400001,    0.02008393,          7.4,    0.01585565,          7.8,    0.01711575,          7.6,      0.016285,
          7.8,    0.02890569,          8.2,    0.02414379,          9.2,    0.02778721,          8.2,    0.02079787,          8.2,    0.01994412,          8.6,    0.02084342,          7.6,    0.01658531,            8,    0.01777399,          7.8,    0.01690979,
            8,    0.02918647,     8.400001,    0.02547288,     9.400001,    0.02896727,     8.400001,    0.02176942,     8.400001,    0.02084086,          8.8,    0.02161281,          7.8,    0.01731691,          8.2,    0.01844636,            8,    0.01754558,
          8.2,    0.02982012,          8.6,    0.02680565,          9.6,    0.03017535,          8.6,       0.02279,          8.6,    0.02172282,            9,    0.02240867,            8,    0.01801848,     8.400001,    0.01912093,          8.2,    0.01820268,
     8.400001,    0.03098019,          8.8,    0.02818744,          9.8,    0.03141884,          8.8,    0.02380788,          8.8,    0.02259515,          9.2,    0.02321507,          8.2,    0.01871254,          8.6,    0.01979329,     8.400001,    0.01885154,
          8.6,     0.0325866,            9,    0.02960779,           10,    0.03276312,            9,      0.024777,            9,    0.02345666,     9.400001,     0.0240828,     8.400001,    0.01941341,          8.8,     0.0205007,          8.6,    0.01950088,
          8.8,    0.03441369,          9.2,    0.03102789,         10.2,    0.03424631,          9.2,    0.02574648,          9.2,    0.02432517,          9.6,    0.02493994,          8.6,    0.02012152,            9,    0.02118091,          8.8,    0.02015866,
            9,    0.03638499,     9.400001,    0.03251828,         10.4,    0.03586978,     9.400001,    0.02673351,     9.400001,    0.02524658,          9.8,    0.02587427,          8.8,    0.02082166,          9.2,    0.02194059,            9,    0.02085553,
          9.2,     0.0385184,          9.6,    0.03406547,         10.6,     0.0375839,          9.6,      0.027814,          9.6,    0.02618455,           10,    0.02690781,            9,    0.02156878,     9.400001,    0.02271086,          9.2,    0.02157435,
     9.400001,     0.0407773,          9.8,    0.03566317,         10.8,    0.03938498,          9.8,    0.02895143,          9.8,    0.02721206,         10.2,    0.02810935,          9.2,    0.02230925,          9.6,    0.02350338,     9.400001,    0.02230889,
          9.6,    0.04313818,           10,    0.03730777,           11,     0.0413197,           10,     0.0301874,           10,    0.02837418,         10.4,    0.02933931,     9.400001,    0.02312205,          9.8,    0.02433364,          9.6,    0.02308602,
          9.8,    0.04558068,         10.2,    0.03905541,         11.2,    0.04332143,         10.2,    0.03155712,         10.2,    0.02961258,         10.6,    0.03069378,          9.6,    0.02395835,           10,     0.0252389,          9.8,    0.02390023,
           10,    0.04801349,         10.4,    0.04093674,         11.4,    0.04537874,         10.4,    0.03303878,         10.4,    0.03095616,         10.8,    0.03216744,          9.8,    0.02481994,         10.2,    0.02624433,           10,    0.02483423,
         10.2,    0.05047338,         10.6,     0.0428822,         11.6,    0.04748585,         10.6,    0.03461795,         10.6,    0.03241024,           11,    0.03375065,           10,    0.02576518,         10.4,    0.02739589,         10.2,    0.02587833,
         10.4,    0.05288555,         10.8,    0.04484934,         11.8,    0.04963773,         10.8,    0.03629527,         10.8,    0.03396763,         11.2,     0.0354366,         10.2,    0.02679943,         10.6,    0.02874699,         10.4,    0.02694321,
         10.6,    0.05524412,           11,    0.04684574,           12,    0.05184101,           11,    0.03806133,           11,    0.03562612,         11.4,    0.03721877,         10.4,    0.02793526,         10.8,    0.03007127,         10.6,    0.02812355,
         10.8,    0.05751935,         11.2,    0.04886064,         12.2,    0.05411122,         11.2,    0.03992121,         11.2,     0.0373922,         11.6,    0.03909029,         10.6,    0.02918413,           11,    0.03151952,         10.8,    0.02942287,
           11,    0.05971965,         11.4,    0.05093681,         12.4,    0.05645407,         11.4,    0.04189412,         11.4,    0.03927955,         11.8,    0.04104936,         10.8,     0.0305661,         11.2,    0.03308796,           11,    0.03084077,
         11.2,    0.06186717,         11.6,    0.05307185,         12.6,    0.05891594,         11.6,     0.0439855,         11.6,    0.04130761,           12,    0.04309081,           11,    0.03210831,         11.4,    0.03477005,         11.2,    0.03237511,
         11.4,    0.06395089,         11.8,    0.05527072,         12.8,    0.06152665,         11.8,     0.0460838,         11.8,    0.04338106,         12.2,    0.04521723,         11.2,     0.0338402,         11.6,     0.0365595,         11.4,    0.03402067,
         11.6,    0.06602994,           12,    0.05756683,           13,    0.06430217,           12,     0.0482542,           12,     0.0454857,         12.4,    0.04742702,         11.4,    0.03560253,         11.8,    0.03845163,         11.6,    0.03577397,
         11.8,    0.06810316,         12.2,    0.05996928,         13.2,    0.06727697,         12.2,    0.05049197,         12.2,    0.04767022,         12.6,    0.04972327,         11.6,    0.03740923,           12,       0.04044,         11.8,    0.03762832,
           12,    0.07040118,         12.4,    0.06248378,         13.4,    0.07046615,         12.4,    0.05279779,         12.4,    0.04993778,         12.8,    0.05211258,         11.8,    0.03931876,         12.2,    0.04251964,           12,    0.03958416,
         12.2,    0.07294504,         12.6,    0.06511579,         13.6,    0.07390082,         12.6,    0.05519617,         12.6,    0.05228945,           13,    0.05460388,           12,    0.04132477,         12.4,    0.04469263,         12.2,    0.04163394,
         12.4,    0.07599902,         12.8,    0.06787264,         13.8,    0.07757179,         12.8,    0.05768643,         12.8,    0.05472776,         13.2,     0.0571825,         12.2,    0.04342413,         12.6,    0.04695706,         12.4,    0.04377764,
